epoch;trial;img1_position;img2_position;correct_choice;feedback;outcome_path
1;1;left;right;True;positive;pics/euro.jpg
1;2;left;right;True;positive;pics/euro.jpg
1;3;left;right;True;positive;pics/euro.jpg
1;4;left;right;True;positive;pics/euro.jpg
1;5;right;left;False;positive;pics/euro.jpg
2;1;right;left;True;negative;pics/noeuro1.jpg
2;2;right;left;True;negative;pics/noeuro1.jpg
2;3;right;left;True;negative;pics/noeuro1.jpg
2;4;right;left;True;positive;pics/euro.jpg
2;5;left;right;False;positive;pics/euro.jpg
